Country,Variables,Import
Afghanistan(Thousand Dollars),2019 Jan,1919
Africa(Million Dollars),2019 Jan,647.4
America(Million Dollars),2019 Jan,5055.8
Argentina(Thousand Dollars),2019 Jan,13598
Asia(Million Dollars),2019 Jan,32195.7
Australia(Thousand Dollars),2019 Jan,1173554
Austria(Thousand Dollars),2019 Jan,44319
Bahrain(Thousand Dollars),2019 Jan,12986
Bangladesh(Thousand Dollars),2019 Jan,270988
Belgium(Thousand Dollars),2019 Jan,491576
Brazil(Thousand Dollars),2019 Jan,184489
Brunei Darussalam(Thousand Dollars),2019 Jan,101348
Cambodia(Thousand Dollars),2019 Jan,362730
Canada(Thousand Dollars),2019 Jan,125731
Chile(Thousand Dollars),2019 Jan,6511
Colombia(Thousand Dollars),2019 Jan,11883
Cyprus(Thousand Dollars),2019 Jan,38793
Czech Republic(Thousand Dollars),2019 Jan,75677
Democratic People's Republic Of Korea(Thousand Dollars),2019 Jan,0
Denmark(Thousand Dollars),2019 Jan,18940
Ecuador(Thousand Dollars),2019 Jan,7854
Estonia(Thousand Dollars),2019 Jan,757
Europe(Million Dollars),2019 Jan,4585.6
European Union(Million Dollars),2019 Jan,3926.7
Fiji(Thousand Dollars),2019 Jan,38179
Finland(Thousand Dollars),2019 Jan,11566
France(Thousand Dollars),2019 Jan,510535
French Polynesia(Thousand Dollars),2019 Jan,17324
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Jan,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Jan,796658
Greece(Thousand Dollars),2019 Jan,148957
Guam(Thousand Dollars),2019 Jan,59982
Hong Kong(Thousand Dollars),2019 Jan,5133134
Hungary(Thousand Dollars),2019 Jan,44932
India(Thousand Dollars),2019 Jan,1377808
Indonesia(Thousand Dollars),2019 Jan,3481372
Iran (Islamic Republic Of)(Thousand Dollars),2019 Jan,5113
Ireland(Thousand Dollars),2019 Jan,83634
Israel(Thousand Dollars),2019 Jan,105782
Italy(Thousand Dollars),2019 Jan,87126
