Date,Country,Export,Category
2019 Apr,Yemen(Thousand Dollars),2369,Export
2019 Apr,Yemen Democratic(Thousand Dollars),0,Export
2019 Apr,"Vietnam, Socialist Republic Of(Thousand Dollars)",1441410,Export
2019 Apr,Venezuela(Thousand Dollars),717,Export
2019 Apr,Uruguay(Thousand Dollars),1185,Export
2019 Apr,United States(Thousand Dollars),3749563,Export
2019 Apr,United Kingdom(Thousand Dollars),664393,Export
2019 Apr,United Arab Emirates(Thousand Dollars),418180,Export
2019 Apr,Total Merchandise Exports(Thousand Dollars),44138798,Export
2019 Apr,Thailand(Thousand Dollars),1627916,Export
2019 Apr,Taiwan(Thousand Dollars),1740748,Export
2019 Apr,Syrian Arab Republic(Thousand Dollars),908,Export
2019 Apr,Switzerland(Thousand Dollars),187224,Export
2019 Apr,Sweden(Thousand Dollars),20579,Export
2019 Apr,Sri Lanka(Thousand Dollars),235671,Export
2019 Apr,Spain(Thousand Dollars),57638,Export
2019 Apr,Solomon Islands(Thousand Dollars),3732,Export
2019 Apr,Slovenia(Thousand Dollars),4717,Export
2019 Apr,Slovak Republic (Slovakia)(Thousand Dollars),3957,Export
2019 Apr,Saudi Arabia(Thousand Dollars),80613,Export
2019 Apr,Republic Of Korea(Thousand Dollars),1681787,Export
2019 Apr,Qatar(Thousand Dollars),100797,Export
2019 Apr,Puerto Rico(Thousand Dollars),98381,Export
2019 Apr,Portugal(Thousand Dollars),33753,Export
2019 Apr,Poland(Thousand Dollars),32266,Export
2019 Apr,Philippines(Thousand Dollars),949427,Export
2019 Apr,Peru(Thousand Dollars),7916,Export
2019 Apr,Paraguay(Thousand Dollars),514,Export
2019 Apr,Papua New Guinea(Thousand Dollars),69561,Export
2019 Apr,Pakistan(Thousand Dollars),89283,Export
2019 Apr,Other Countries In Oceania(Thousand Dollars),406256,Export
2019 Apr,Oman(Thousand Dollars),13589,Export
2019 Apr,Oceania(Million Dollars),2235.3,Export
2019 Apr,New Zealand(Thousand Dollars),256258,Export
2019 Apr,New Caledonia(Thousand Dollars),33118,Export
2019 Apr,Netherlands(Thousand Dollars),781693,Export
2019 Apr,Nepal(Thousand Dollars),16310,Export
2019 Apr,Myanmar(Thousand Dollars),376783,Export
2019 Apr,Mexico(Thousand Dollars),171142,Export
2019 Apr,Malta(Thousand Dollars),159970,Export
2019 Apr,"Maldives, Republic Of(Thousand Dollars)",38784,Export
2019 Apr,Malaysia(Thousand Dollars),4817283,Export
