Date,Country,Import Volumn
2019 Apr,Yemen(Thousand Dollars),520
2019 Apr,Yemen Democratic(Thousand Dollars),0
2019 Apr,Wallis & Fatuna Islands(Thousand Dollars),0
2019 Apr,"Vietnam, Socialist Republic Of(Thousand Dollars)",408524
2019 Apr,Venezuela(Thousand Dollars),48
2019 Apr,Uruguay(Thousand Dollars),9956
2019 Apr,United States(Thousand Dollars),5274993
2019 Apr,United Kingdom(Thousand Dollars),895431
2019 Apr,United Arab Emirates(Thousand Dollars),1366925
2019 Apr,Tuvalu(Thousand Dollars),0
2019 Apr,Trinidad & Tobago(Thousand Dollars),20
2019 Apr,Total Merchandise Imports(Thousand Dollars),41294888
2019 Apr,Thailand(Thousand Dollars),715712
2019 Apr,Taiwan(Thousand Dollars),3603881
2019 Apr,Syrian Arab Republic(Thousand Dollars),0
2019 Apr,Switzerland(Thousand Dollars),852369
2019 Apr,Sweden(Thousand Dollars),139440
2019 Apr,St Vincent & The Grenadines(Thousand Dollars),0
2019 Apr,Sri Lanka(Thousand Dollars),9491
2019 Apr,Spain(Thousand Dollars),126203
2019 Apr,South Sudan(Thousand Dollars),0
2019 Apr,Solomon Islands(Thousand Dollars),818
2019 Apr,Slovenia(Thousand Dollars),9247
2019 Apr,Slovak Republic (Slovakia)(Thousand Dollars),12926
2019 Apr,Saudi Arabia(Thousand Dollars),1325880
2019 Apr,Republic Of Korea(Thousand Dollars),1545584
2019 Apr,Qatar(Thousand Dollars),684561
2019 Apr,Puerto Rico(Thousand Dollars),8438
2019 Apr,Portugal(Thousand Dollars),50938
2019 Apr,Poland(Thousand Dollars),39586
2019 Apr,Philippines(Thousand Dollars),989002
2019 Apr,Peru(Thousand Dollars),1691
2019 Apr,Paraguay(Thousand Dollars),118
2019 Apr,Papua New Guinea(Thousand Dollars),74599
2019 Apr,Panama(Thousand Dollars),125
2019 Apr,Palau(Thousand Dollars),0
2019 Apr,Pakistan(Thousand Dollars),8576
2019 Apr,Other Countries In Oceania(Thousand Dollars),170
2019 Apr,Other Countries In America(Thousand Dollars),22646
2019 Apr,Oman(Thousand Dollars),5218
2019 Apr,Oceania(Million Dollars),820.3
2019 Apr,Norway(Thousand Dollars),109928
2019 Apr,Norfolk Island(Thousand Dollars),0
2019 Apr,Niue(Thousand Dollars),0
2019 Apr,New Zealand(Thousand Dollars),81115
2019 Apr,New Caledonia(Thousand Dollars),181
2019 Apr,Netherlands(Thousand Dollars),541246
2019 Apr,Netherlands Antilles(Thousand Dollars),211
2019 Apr,Nepal(Thousand Dollars),1472
2019 Apr,Nauru(Thousand Dollars),23
2019 Apr,Myanmar(Thousand Dollars),37686
2019 Apr,Micronesia(Thousand Dollars),0
2019 Apr,Mexico(Thousand Dollars),242777
2019 Apr,Malta(Thousand Dollars),17329
2019 Apr,"Maldives, Republic Of(Thousand Dollars)",181
2019 Apr,Malaysia(Thousand Dollars),4770798
2019 Apr,Mainland China(Thousand Dollars),5580044
2019 Apr,Macau(Thousand Dollars),768
2019 Apr,Luxembourg(Thousand Dollars),3639
2019 Apr,Lithuania(Thousand Dollars),9976
2019 Apr,Liechtenstein(Thousand Dollars),2722
2019 Apr,Lebanon(Thousand Dollars),283
2019 Apr,Latvia(Thousand Dollars),3249
2019 Apr,Laos People's Democratic Republic(Thousand Dollars),1462
2019 Apr,Kuwait(Thousand Dollars),101494
2019 Apr,Kiribati(Thousand Dollars),6
2019 Apr,Jordan(Thousand Dollars),47263
2019 Apr,Japan(Thousand Dollars),2369356
2019 Apr,Jamaica(Thousand Dollars),189
2019 Apr,Italy(Thousand Dollars),485156
2019 Apr,Israel(Thousand Dollars),63800
2019 Apr,Ireland(Thousand Dollars),67070
2019 Apr,Iran (Islamic Republic Of)(Thousand Dollars),498
2019 Apr,Indonesia(Thousand Dollars),1394245
2019 Apr,India(Thousand Dollars),672868
2019 Apr,Hungary(Thousand Dollars),29555
2019 Apr,Hong Kong(Thousand Dollars),649858
2019 Apr,Honduras(Thousand Dollars),587
2019 Apr,Guatemala(Thousand Dollars),1742
2019 Apr,Guam(Thousand Dollars),29
2019 Apr,Grenada(Thousand Dollars),0
2019 Apr,Greece(Thousand Dollars),11590
2019 Apr,"Germany, Federal Republic Of(Thousand Dollars)",1238409
2019 Apr,"Germany, Democratic Republic Of(Thousand Dollars)",0
2019 Apr,French Southern Territories(Thousand Dollars),0
2019 Apr,French Polynesia(Thousand Dollars),77
2019 Apr,French Guiana(Thousand Dollars),7
2019 Apr,France(Thousand Dollars),1109264
2019 Apr,Finland(Thousand Dollars),40197
2019 Apr,Fiji(Thousand Dollars),15
2019 Apr,European Union(Million Dollars),4292.1
2019 Apr,Europe(Million Dollars),7157
2019 Apr,Estonia(Thousand Dollars),4377
2019 Apr,Ecuador(Thousand Dollars),2724
2019 Apr,Denmark(Thousand Dollars),41722
2019 Apr,Democratic People's Republic Of Korea(Thousand Dollars),0
2019 Apr,Czech Republic(Thousand Dollars),56215
2019 Apr,Cyprus(Thousand Dollars),18191
2019 Apr,Cook Islands(Thousand Dollars),4
2019 Apr,Commonwealth Of Independent States(Thousand Dollars),1001219
2019 Apr,Colombia(Thousand Dollars),1299
2019 Apr,Cocos (Keeling) Islands(Thousand Dollars),4
2019 Apr,Chile(Thousand Dollars),5631
2019 Apr,Canada(Thousand Dollars),380675
2019 Apr,Cambodia(Thousand Dollars),12831
2019 Apr,Brunei Darussalam(Thousand Dollars),3828
2019 Apr,Brazil(Thousand Dollars),159314
2019 Apr,Bermuda(Thousand Dollars),0
2019 Apr,Belgium(Thousand Dollars),134313
2019 Apr,Bangladesh(Thousand Dollars),23562
2019 Apr,Bahrain(Thousand Dollars),12029
2019 Apr,Bahamas(Thousand Dollars),34
2019 Apr,Austria(Thousand Dollars),83561
2019 Apr,Australia(Thousand Dollars),663226
2019 Apr,Asia(Million Dollars),26807.2
2019 Apr,Argentina(Thousand Dollars),14893
2019 Apr,Anguilla(Thousand Dollars),0
2019 Apr,America(Million Dollars),6128
2019 Apr,Africa(Million Dollars),382.4
2019 Apr,Afghanistan(Thousand Dollars),44
2019 Aug,Yemen(Thousand Dollars),32
2019 Aug,Yemen Democratic(Thousand Dollars),0
2019 Aug,Wallis & Fatuna Islands(Thousand Dollars),0
2019 Aug,"Vietnam, Socialist Republic Of(Thousand Dollars)",549624
2019 Aug,Venezuela(Thousand Dollars),1577
2019 Aug,Uruguay(Thousand Dollars),2967
2019 Aug,United States(Thousand Dollars),5362118
2019 Aug,United Kingdom(Thousand Dollars),1044665
2019 Aug,United Arab Emirates(Thousand Dollars),1229335
2019 Aug,Tuvalu(Thousand Dollars),0
2019 Aug,Trinidad & Tobago(Thousand Dollars),13
2019 Aug,Total Merchandise Imports(Thousand Dollars),40998179
2019 Aug,Thailand(Thousand Dollars),902300
2019 Aug,Taiwan(Thousand Dollars),3945610
2019 Aug,Syrian Arab Republic(Thousand Dollars),1
2019 Aug,Switzerland(Thousand Dollars),713689
2019 Aug,Sweden(Thousand Dollars),118914
2019 Aug,St Vincent & The Grenadines(Thousand Dollars),0
2019 Aug,Sri Lanka(Thousand Dollars),9137
2019 Aug,Spain(Thousand Dollars),140925
2019 Aug,South Sudan(Thousand Dollars),0
2019 Aug,Solomon Islands(Thousand Dollars),72
2019 Aug,Slovenia(Thousand Dollars),7556
2019 Aug,Slovak Republic (Slovakia)(Thousand Dollars),7928
2019 Aug,Saudi Arabia(Thousand Dollars),758187
2019 Aug,Republic Of Korea(Thousand Dollars),1222999
2019 Aug,Qatar(Thousand Dollars),356883
2019 Aug,Puerto Rico(Thousand Dollars),9156
2019 Aug,Portugal(Thousand Dollars),26071
2019 Aug,Poland(Thousand Dollars),52423
2019 Aug,Philippines(Thousand Dollars),789480
2019 Aug,Peru(Thousand Dollars),2290
2019 Aug,Paraguay(Thousand Dollars),158
2019 Aug,Papua New Guinea(Thousand Dollars),28300
2019 Aug,Panama(Thousand Dollars),997
2019 Aug,Palau(Thousand Dollars),0
2019 Aug,Pakistan(Thousand Dollars),11755
2019 Aug,Other Countries In Oceania(Thousand Dollars),2165
2019 Aug,Other Countries In America(Thousand Dollars),23235
2019 Aug,Oman(Thousand Dollars),3843
2019 Aug,Oceania(Million Dollars),1015.1
2019 Aug,Norway(Thousand Dollars),48208
2019 Aug,Norfolk Island(Thousand Dollars),0
2019 Aug,Niue(Thousand Dollars),4
2019 Aug,New Zealand(Thousand Dollars),72500
2019 Aug,New Caledonia(Thousand Dollars),41
2019 Aug,Netherlands(Thousand Dollars),496961
2019 Aug,Netherlands Antilles(Thousand Dollars),26
2019 Aug,Nepal(Thousand Dollars),212
2019 Aug,Nauru(Thousand Dollars),91
2019 Aug,Myanmar(Thousand Dollars),37277
2019 Aug,Micronesia(Thousand Dollars),0
2019 Aug,Mexico(Thousand Dollars),327695
2019 Aug,Malta(Thousand Dollars),21785
2019 Aug,"Maldives, Republic Of(Thousand Dollars)",111
2019 Aug,Malaysia(Thousand Dollars),4647126
2019 Aug,Mainland China(Thousand Dollars),5045005
2019 Aug,Macau(Thousand Dollars),584
2019 Aug,Luxembourg(Thousand Dollars),3438
2019 Aug,Lithuania(Thousand Dollars),7171
2019 Aug,Liechtenstein(Thousand Dollars),2633
2019 Aug,Lebanon(Thousand Dollars),260
2019 Aug,Latvia(Thousand Dollars),3413
2019 Aug,Laos People's Democratic Republic(Thousand Dollars),698
2019 Aug,Kuwait(Thousand Dollars),160617
2019 Aug,Kiribati(Thousand Dollars),1
2019 Aug,Jordan(Thousand Dollars),2021
2019 Aug,Japan(Thousand Dollars),2057240
2019 Aug,Jamaica(Thousand Dollars),66
2019 Aug,Italy(Thousand Dollars),451463
2019 Aug,Israel(Thousand Dollars),55922
2019 Aug,Ireland(Thousand Dollars),76235
2019 Aug,Iran (Islamic Republic Of)(Thousand Dollars),424
2019 Aug,Indonesia(Thousand Dollars),2047681
2019 Aug,India(Thousand Dollars),959969
2019 Aug,Hungary(Thousand Dollars),32455
2019 Aug,Hong Kong(Thousand Dollars),354779
2019 Aug,Honduras(Thousand Dollars),157
2019 Aug,Guatemala(Thousand Dollars),3785
2019 Aug,Guam(Thousand Dollars),36
